inic_edo,nom_edo,Nombre,UltimoGradoEstudios,TipoLegislacion,tipoEleccion,FechaNacimiento,estado,entidad,Reeleccion,Partido,PreparacionAcademica,,,,
caa_oaxaca,carolantonioaltamirano_oaxaca,Carol Antonio Altamirano,Licenciatura,Diputado Propietario,Mayoria Relativa,13/12/1963,Oaxaca,Distrito:5,SI,MORENA,Derecho,,,,
cga_mexico,carolinagarciaaguilar_mexico,Carolina Garcia Aguilar,No disponible,Diputada Propietario,Mayoria Relativa,22/09/1976,Mexico,Distrito:6,SI,PES,,,,,
czv_sinaloa,casimirozamoravaldez_sinaloa,Casimiro Zamora Valdez,Licenciatura,Diputado Propietario,Mayoria Relativa,15/11/1958,Sinaloa,Distrito:4,SI,MORENA,,,,,
capl_yucatan,ceciliaanunciacionpatronlaviada_yucatan,Cecilia Anunciacion Patron Laviada,Licenciatura,Diputada Propietario,Representacion proporcional,25/03/1971,Yucatan,Circunscripcion:3,SI,PAN,Comunicación,,,,
cahp_mexico,cesaragustinhernandezperez_mexico,Cesar Agustin Hernandez Perez,Maestría,Diputado Propietario,Mayoria Relativa,01/03/1980,Mexico,Distrito:30,SI,MORENA,Ciencias políticas y sociales,,,,
ccp_hidalgo,ciprianocharrezpedraza_hidalgo,Cipriano Charrez Pedraza,Maestría,Diputado Propietario,Mayoria Relativa,16/09/1970,Hidalgo,Distrito:2,NO,MORENA,,,,,
csr_chiapas,cirosalesruiz_chiapas,Ciro Sales Ruiz,Licenciatura,Diputado Propietario,Representacion proporcional,01/01/1974,Chiapas,Circunscripcion:3,NO,MORENA,,,,,
cadv_mexico,claudiaangelicadominguezvazquez_mexico,Claudia Angelica Dominguez Vazquez,Licenciatura,Diputada Propietario,Mayoria Relativa,13/09/1977,Mexico,Distrito:14,SI,PT,Derecho,,,,
cbr_puebla,claudiabaezruiz_puebla,Claudia Baez Ruiz,Licenciatura,Diputada Propietario,Mayoria Relativa,20/10/1972,Puebla,Distrito:3,SI,PES,Comunicación,,,,
celm_chihuahua,claudiaelenalastramunoz_chihuahua,Claudia Elena Lastra Muñoz,Licenciatura,Diputada Propietario,Mayoria Relativa,13/01/1971,Chihuahua,Distrito:3,SI,PT,,,,,
clr_ciudad de mexico,claudialopezrayon_ciudad de mexico,Claudia Lopez Rayon,Técnico,Diputada Propietario,Mayoria Relativa,22/04/1973,Ciudad de Mexico,Distrito:5,SI,MORENA,Otra,,,,
cpb_ciudad de mexico,claudiapastorbadilla_ciudad de mexico,Claudia Pastor Badilla,Maestría,Diputada Propietario,Representacion proporcional,01/12/1970,Ciudad de Mexico,Circunscripcion:4,SI,PRI,Ciencias políticas y sociales,,,,
crm_mexico,claudiareyesmontiel_mexico,Claudia Reyes Montiel,Maestría,Diputada Propietario,Mayoria Relativa,07/02/1974,Mexico,Distrito:18,SI,PRD,Ciencias políticas y sociales,,,,
cte_veracruz,claudiatelloespinosa_veracruz,Claudia Tello Espinosa,Doctorado,Diputada Propietario,Mayoria Relativa,16/10/1964,Veracruz,Distrito:8,SI,MORENA,,,,,
cvycyc_colima,claudiavaleriayanezcentenoycabrera_colima,Claudia Valeria Yañez Centeno y Cabrera,Licenciatura,Diputada Propietario,Mayoria Relativa,02/05/1959,Colima,Distrito:1,SI,MORENA,,,,,
cmdg_chiapas,clementinamartadekkergomez_chiapas,Clementina Marta Dekker Gomez,Licenciatura,Diputada Propietario,Mayoria Relativa,10/04/1973,Chiapas,Distrito:5,SI,PT,Ciencias políticas y sociales,,,,
cjrs_mexico,cruzjuvenalroasanchez_mexico,Cruz Juvenal Roa Sanchez,Doctorado,Diputado Propietario,Mayoria Relativa,10/05/1968,Mexico,Distrito:36,SI,PRI,Derecho,,,,
cfbm_san luis potosi,cuauhtlifernandobadillomoreno_san luis potosi,Cuauhtli Fernando Badillo Moreno,Licenciatura,Diputada Propietario,Representacion proporcional,11/05/1990,San Luis Potosi,Circunscripcion:2,SI,MORENA,,,,,
cilc_ciudad de mexico,cynthiailianalopezcastro_ciudad de mexico,Cynthia Iliana Lopez Castro,Maestría,Diputada Propietario,Representacion proporcional,18/02/1987,Ciudad de Mexico,Circunscripcion:4,SI,PRI,Ciencias políticas y sociales,,,,
dgg_oaxaca,danielgutierrezgutierrez_oaxaca,Daniel Gutierrez Gutierrez,Licenciatura,Diputado Propietario,Mayoria Relativa,15/02/1976,Oaxaca,Distrito:10,SI,MORENA,Administración y contaduría,,,,
dbr_puebla,davidbautistarivera_puebla,David Bautista Rivera,Licenciatura,Diputado Propietario,Representacion proporcional,27/03/1981,Puebla,Circunscripcion:4,SI,MORENA,Ciencias de la educación,,,,
don_mexico,davidorihuelanava_mexico,David Orihuela Nava,Licenciatura,Diputado Propietario,Mayoria Relativa,31/01/1985,Mexico,Distrito:23,SI,MORENA,Derecho,,,,
dedbv_coahuila,diegoeduardodelbosquevillarreal_coahuila,Diego Eduardo Del Bosque Villarreal,Licenciatura,Diputado Propietario,Representacion proporcional,21/02/1990,Coahuila,Circunscripcion:2,SI,MORENA,Ingeniería,,,,
dvg_mexico,dioniciavazquezgarcia_mexico,Dionicia Vazquez Garcia,Secundaria,Diputada Propietario,Mayoria Relativa,29/03/1948,Mexico,Distrito:2,SI,PT,,,,,
dpl_ciudad de mexico,dolorespadiernaluna_ciudad de mexico,Dolores Padierna Luna,Licenciatura,Diputada Propietario,Mayoria Relativa,08/05/1958,Ciudad de Mexico,Distrito:12,SI,MORENA,Económico-financiera,,,,
dgc_veracruz,dorhenygarciacayetano_veracruz,Dorheny Garcia Cayetano,Licenciatura,Diputada Propietario,Representacion proporcional,25/07/1990,Veracruz,Circunscripcion:3,SI,MORENA,Derecho,,,,
dagm_oaxaca,dulcealejandragarciamorlan_oaxaca,Dulce Alejandra Garcia Morlan,Licenciatura,Diputada Propietario,Representacion proporcional,05/12/1978,Oaxaca,Circunscripcion:3,SI,PAN,,,,,
dmcvg_veracruz,dulcemariacorinavillegasguarneros_veracruz,Dulce Maria Corina Villegas Guarneros,No disponible,Diputada Propietario,Mayoria Relativa,24/12/1966,Veracruz,Distrito:15,SI,MORENA,,,,,
dmmdlld_veracruz,dulcemariamendezdelaluzdauzon_veracruz,Dulce Maria Mendez De La Luz Dauzon,Licenciatura,Diputada Propietario,Representacion proporcional,06/10/1985,Veracruz,Circunscripcion:3,SI,MC,Comunicación,,,,
dmsr_yucatan,dulcemariasauririancho_yucatan,Dulce Maria Sauri Riancho,Doctorado,Diputada Propietario,Representacion proporcional,14/08/1951,Yucatan,Circunscripcion:3,NO,PRI,Humanidades,,,,
ejrb_guanajuato,ectorjaimeramirezbarba_guanajuato,Ector Jaime Ramirez Barba,Doctorado,Diputado Propietario,Mayoria Relativa,01/12/1956,Guanajuato,Distrito:5,SI,PAN,Ciencias de la salud,,,,
essd_nuevo leon,edelmirosantiagosantosdiaz_nuevo leon,Edelmiro Santiago Santos Diaz,Licenciatura,Diputado Propietario,Representacion proporcional,02/07/1960,Nuevo Leon,Circunscripcion:2,SI,MORENA,Ciencias de la salud,,,,
egv_puebla,edgarguzmanvaldez_puebla,Edgar Guzman Valdez,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,19/04/1992,Puebla,Distrito:7,SI,PES,Humanidades,,,,
era_tabasco,ediltrudisrodriguezarellano_tabasco,Ediltrudis Rodriguez Arellano,Licenciatura,Diputada Propietario,Representacion proporcional,23/06/1954,Tabasco,Circunscripcion:3,SI,MORENA,Ciencias de la educación,,,,
egr_veracruz,edithgarciarosales_veracruz,Edith Garcia Rosales,No disponible,Diputada Propietario,Representacion proporcional,17/10/1992,Veracruz,Circunscripcion:3,SI,MORENA,,,,,
emmt_mexico,edithmarisolmercadotorres_mexico,Edith Marisol Mercado Torres,Maestría,Diputada Propietario,Representacion proporcional,15/09/1986,Mexico,Circunscripcion:5,SI,MORENA,Otra,,,,
err_jalisco,eduardoronramos_jalisco,Eduardo Ron Ramos,Licenciatura,Diputado Propietario,Mayoria Relativa,24/02/1975,Jalisco,Distrito:1,NO,MC,,,,,
ezs_mexico,eduardozarzosasanchez_mexico,Eduardo Zarzosa Sanchez,Maestría,Diputado Propietario,Mayoria Relativa,16/12/1973,Mexico,Distrito:9,SI,PRI,,,,,
erv_chihuahua,efrainrochavega_chihuahua,Efrain Rocha Vega,Licenciatura,Diputado Propietario,Representacion proporcional,12/05/1955,Chihuahua,Circunscripcion:1,SI,MORENA,Ingeniería,,,,
eltd_aguascalientes,elbalorenatorresdiaz_aguascalientes,Elba Lorena Torres Diaz,Licenciatura,Diputada Propietario,Mayoria Relativa,15/03/1977,Aguascalientes,Distrito:2,SI,PT,Ciencias de la salud,,,,
eas_veracruz,eleuterioarrietasanchez_veracruz,Eleuterio Arrieta Sanchez,Maestría,Diputado Propietario,Mayoria Relativa,02/05/1955,Veracruz,Distrito:13,SI,MORENA,Ciencias de la salud,,,,
ecma_chiapas,emeteriaclaudiamartinezaguilar_chiapas,Emeteria Claudia Martinez Aguilar,Licenciatura,Diputada Propietario,Representacion proporcional,03/03/1985,Chiapas,Circunscripcion:3,SI,MORENA,Psicología,,,,
emt_mexico,emiliomanzanillatellez_mexico,Emilio Manzanilla Tellez,Licenciatura,Diputado Propietario,Mayoria Relativa,10/04/1971,Mexico,Distrito:16,SI,PT,Ciencias políticas y sociales,,,,
erc_guanajuato,emmanuelreyescarmona_guanajuato,Emmanuel Reyes Carmona,Licenciatura,Diputado Propietario,Mayoria Relativa,29/06/1987,Guanajuato,Distrito:13,SI,MORENA,Derecho,,,,
eor_michoacan,enriqueochoareza_michoacan,Enrique Ochoa Reza,Doctorado,Diputado Propietario,Representacion proporcional,01/09/1972,Michoacan,Circunscripcion:5,SI,PRI,Ciencias políticas y sociales,,,,
erg_chihuahua,eracliorodriguezgomez_chihuahua,Eraclio Rodriguez Gomez,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,04/01/1961,Chihuahua,Distrito:7,SI,PT,,,,,
