N°,Nombre,Grupo Parlamentario,Entidad federativa,Distrito / Circunscripción,Tipo de elección,Releccion 
301,Maria Rosete Sanchez,PT,Ciudad de México,Distrito 8,Mayoría relativa,SI
302,Maria del Carmen Bautista Pelaez,MORENA,Oaxaca,Distrito 9,Mayoría relativa,SI
303,Maria de los Angeles Gutierrez Valdez,PAN,Chihuahua,Distrito 9,Mayoría relativa,SI
304,Maria de los Angeles Huerta del Rio,MORENA,México,Distrito 24,Mayoría relativa,SI
306,Maria del Rosario Merlin Garcia,MORENA,Guerrero,Distrito 9,Mayoría relativa,SI
307,Maria Elizabeth Diaz Garcia,MORENA,México,Distrito 13,Mayoría relativa,SI
308,Maria Ester Alonzo Morales,PRI,Yucatán,Distrito 2,Mayoría relativa,SI
309,Maria Esther Mejia Cruz,MORENA,Chihuahua,Distrito 1,Mayoría relativa,SI
310,Maria Eugenia Hernandez Perez,MORENA,México,Distrito 11,Mayoría relativa,SI
311,Maria Geraldine Ponce Mendez,MORENA,Nayarit,Distrito 2,Mayoría relativa,SI
313,Maria Guadalupe Edith Castañeda Ortiz,MORENA,México,5ª Circunscripción,Representación proporcional,SI
