N°	Diputada / Diputado	Grupo Parlamentario	Entidad federativa	Distrito / Circunscripción	Tipo de elección	Fecha de recepción	En funciones	Carta
169	Hortensia María Luisa Noroña Quezada	PRI	Jalisco	1ª Circunscripción	Representación proporcional	22 de diciembre del 2020	En funciones	
170	Hugo Rafael Ruiz Lustre	MORENA	Hidalgo	5ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
171	Idalia Reyes Miguel	MORENA	Guerrero	4ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
172	Ignacio Benjamín Campos Equihua	MORENA	Michoacán	Distrito 9	Mayoría relativa	17 de diciembre del 2020	En funciones	
173	Inés Parra Juárez	MORENA	Puebla	Distrito 4	Mayoría relativa	17 de diciembre del 2020	En funciones	
174	Iran Santiago Manuel	MORENA	Oaxaca	3ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
175	Irasema del Carmen Buenfil Díaz	PES	Campeche	Distrito 2	Mayoría relativa	16 de diciembre del 2020	En funciones	
176	Irma Juan Carlos	MORENA	Oaxaca	Distrito 2	Mayoría relativa	17 de diciembre del 2020	En funciones	
177	Irma María Terán Villalobos	PES	Sonora	1ª Circunscripción	Representación proporcional	16 de diciembre del 2020	En funciones	
178	Isabel Margarita Guerra Villareal	PAN	Nuevo León	2a Circunscripción	Representación proporcional	16 de diciembre del 2020	En funciones	
179	Ismael Alfredo Hernández Deras	PRI	Durango	1ª Circunscripción	Representación proporcional	22 de diciembre del 2020	En funciones	
180	Itzcóatl Tonatiuh Bravo Padilla	MC	Jalisco	1ª Circunscripción	Representación proporcional	16 de diciembre del 2020	En funciones	
181	Iván Arturo Rodríguez Rivera	PAN	México	5ª Circunscripción	Representación proporcional	16 de diciembre del 2020	En funciones	
182	Jacobo David Cheja Alfaro	MC	México	5ª Circunscripción	Representación proporcional	16 de diciembre del 2020	En funciones	
183	Jacquelina Martínez Juárez	PAN	Zacatecas	2ª Circunscripción	Representación proporcional	16 de diciembre del 2020	En funciones	
184	Jaime Humberto Pérez Bernabé	MORENA	Veracruz	Distrito 6	Mayoría relativa	17 de diciembre del 2020	En funciones	
185	Jannet Tellez Infante	MORENA	Hidalgo	Distrito 7	Mayoría relativa	17 de diciembre del 2020	En funciones	
186	Javier Ariel Hidalgo Ponce	MORENA	Ciudad de México	Distrito 10	Mayoría relativa	17 de diciembre del 2020	En funciones	
187	Javier Julián Castañeda Pomposo	MORENA	Baja California	Distrito 6	Mayoría relativa	21 de diciembre del 2020	Licencia	
188	Javier Manzano Salazar	MORENA	Guerrero	Distrito 5	Mayoría relativa	17 de diciembre del 2020	En funciones	
189	Jesús Carlos Vidal Peniche	PVEM	Yucatán	Distrito 1	Mayoría relativa	18 de diciembre del 2020	En funciones	
190	Jesús Fernando García Hernández	PT	Sinaloa	Distrito 3	Mayoría relativa	15 de diciembre del 2020	En funciones	
191	Jesús Salvador Minor Mora	MORENA	Baja California	Distrito 1	Mayoría relativa	17 de diciembre del 2020	En funciones	
192	Jesús Sergio Alcántara Núñez	PRI	México	5ª Circunscripción	Representación proporcional	22 de diciembre del 2020	En funciones	
193	Jorge Alcibíades García Lara	MC	Baja California	1ª Circunscripción	Representación proporcional	16 de diciembre del 2020	En funciones	
194	Jorge Arturo Argüelles Victorero	PES	Morelos	Distrito 4	Mayoría relativa	16 de diciembre del 2020	En funciones	
195	Jorge Arturo Espadas Galván	PAN	Guanajuato	Distrito 11	Mayoría relativa	16 de diciembre del 2020	En funciones	
196	Jorge Emilio González Martínez	PVEM	Ciudad de México	3ª Circunscripción	Representación proporcional	18 de diciembre del 2020	Licencia	
197	Jorge Eugenio Russo Salido	MC	Sonora	1ª Circunscripción	Representación proporcional	16 de diciembre del 2020	En funciones	
198	Jorge Francisco Corona Méndez	PVEM	Quintana Roo	3ª Circunscripción	Representación proporcional	18 de diciembre del 2020	En funciones	
199	Jorge Luis Montes Nieves	MORENA	Querétaro	Distrito 2	Mayoría relativa	17 de diciembre del 2020	En funciones	
200	Jorge Luis Preciado Rodríguez	PAN	Colima	5ª Circunscripción	Representación proporcional	16 de diciembre del 2020	En funciones	
201	Jorge Romero Herrera	PAN	Ciudad de México	Distrito 4	Mayoría relativa	16 de diciembre del 2020	En funciones	
202	José Ángel Sibaja Mendoza	MORENA	Chiapas	3ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
203	José Elías Lixa Abimerhi	PAN	Yucatán	Distrito 4	Mayoría relativa	16 de diciembre del 2020	En funciones	
204	Josefina Salazar Báez	PAN	San Luis Potosí	Distrito 5	Mayoría relativa	16 de diciembre del 2020	En funciones	
205	José Francisco Esquitin Alonso	PES	Puebla	Distrito 1	Mayoría relativa	16 de diciembre del 2020	En funciones	
206	José Gerardo Rodolfo Fernández Noroña	PT	Ciudad de México	Distrito 4	Mayoría relativa	15 de diciembre del 2020	En funciones	
207	José Guadalupe Aguilera Rojas	PRD	Michoacán	Distrito 11	Mayoría relativa	21 de diciembre del 2020	En funciones	
208	José Guadalupe Ambrocio Gachuz	MORENA	Morelos	Distrito 5	Mayoría relativa	17 de diciembre del 2020	En funciones	
209	José Isabel Trejo Reyes	PAN	Zacatecas	2ª Circunscripción	Representación proporcional	16 de diciembre del 2020	En funciones	
210	José Luis Elorza Flores	MORENA	Chiapas	Distrito 12	Mayoría relativa	17 de diciembre del 2020	En funciones	
211	José Luis García Duque	PT	Nuevo León	Distrito 3	Mayoría relativa	15 de diciembre del 2020	En funciones	
212	José Luis Montalvo Luna	PT	México	Distrito 39	Mayoría relativa	14 de diciembre del 2020	En funciones	
213	José Mario Osuna Medina	PT	Sinaloa	Distrito 1	Mayoría relativa	15 de diciembre del 2020	En funciones	
214	José Martín López Cisneros	PAN	Nuevo León	Distrito 10	Mayoría relativa	16 de diciembre del 2020	En funciones	
215	José Ricardo Delsol Estrada	MORENA	San Luís Potosí	Distrito 4	Mayoría relativa	17 de diciembre del 2020	En funciones	
216	José Rigoberto Mares Aguilar	PAN	Baja California Sur	1a Circunscripción	Representación proporcional	16 de diciembre del 2020	En funciones	
217	José Salvador Rosas Quintanilla	PAN	Tamaulipas	Distrito 1	Mayoría relativa	21 de diciembre del 2020	En funciones	
218	Juana Carrillo Luna	MORENA	México	5ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
219	Juan Ángel Bautista Bravo	MORENA	México	Distrito 31	Mayoría relativa	17 de diciembre del 2020	En funciones	
220	Juan Carlos Romero Hicks	PAN	Guanajuato	Distrito 4	Mayoría relativa	16 de diciembre del 2020	En funciones	
221	Juan Enrique Farrera Esponda	MORENA	Chiapas	Distrito 10	Mayoría relativa	17 de diciembre del 2020	En funciones	
222	Juan Francisco Espinoza Eguia	PRI	Nuevo León	Distrito 9	Mayoría relativa	22 de diciembre del 2020	En funciones	
223	Juan Francisco Ramírez Salcido	MC	Jalisco	Distrito 14	Mayoría relativa	16 de diciembre del 2020	En funciones	
224	Juan Israel Ramos Ruiz	MORENA	Guanajuato	2ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
225	Juanita Guerra Mena	MORENA	Morelos	Distrito 3	Mayoría relativa	17 de diciembre del 2020	En funciones	
226	Juan José Canul Pérez	PRI	Yucatán	Distrito 5	Mayoría relativa	22 de diciembre del 2020	En funciones	
227	Juan Martín Espinoza Cárdenas	MC	Jalisco	Distrito 17	Mayoría relativa	15 de diciembre del 2020	En funciones	
228	Juan Martínez Flores	MORENA	Veracruz	Distrito 16	Mayoría relativa	17 de diciembre del 2020	En funciones	
229	Juan Ortiz Guarneros	PRI	Veracruz	3ª Circunscripción	Representación proporcional	22 de diciembre del 2020	En funciones	
230	Juan Pablo Sánchez Rodríguez	MORENA	México	Distrito 20	Mayoría relativa	17 de diciembre del 2020	En funciones	
231	Julieta García Zepeda	MORENA	Michoacán	5ª Circunscripción	Representación proporcional	17 de diciembre del 2020	En funciones	
232	Julieta Kristal Vences Valencia	MORENA	Puebla	Distrito 8	Mayoría relativa	17 de diciembre del 2020	En funciones	
